               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087844,             0.12025,            0.048687,             0.58808,             0.53375,             0.51933,             0.28136,            0.057643,            0.085696,             0.02768,            0.070144,           0.0033173,           0.0033173
                   1,            0.065227,            0.099521,            0.021593,             0.65499,             0.68839,             0.74454,             0.37057,            0.052136,            0.074538,            0.014013,            0.039925,           0.0064312,           0.0064312
                   2,            0.061538,            0.089276,            0.014114,             0.79909,             0.72642,             0.83158,             0.42599,            0.049763,            0.069534,           0.0096639,           0.0094853,            0.009325,            0.009325
                   3,            0.054537,            0.085104,            0.010741,             0.90679,              0.8238,             0.90199,             0.55915,            0.038344,             0.06515,           0.0078718,             0.00901,             0.00901,             0.00901
                   4,            0.048266,             0.07949,           0.0088825,             0.78327,             0.89427,             0.90936,             0.60964,            0.037421,             0.06424,           0.0068619,             0.00901,             0.00901,             0.00901
                   5,            0.044512,            0.076327,            0.007901,             0.90178,             0.91161,             0.94253,             0.64758,            0.033503,            0.060934,           0.0066097,             0.00868,             0.00868,             0.00868
                   6,            0.042491,            0.073735,           0.0071462,             0.93445,             0.92309,             0.94891,             0.68689,            0.029524,            0.058318,           0.0057744,             0.00835,             0.00835,             0.00835
                   7,            0.041497,            0.071098,           0.0066885,             0.93433,             0.91337,             0.95174,             0.66276,            0.030336,             0.05568,           0.0056029,             0.00802,             0.00802,             0.00802
                   8,            0.040099,            0.069759,           0.0063433,             0.93785,             0.95042,             0.95678,             0.69735,              0.0281,            0.054924,           0.0051707,             0.00769,             0.00769,             0.00769
                   9,            0.038132,            0.066493,           0.0059963,              0.9411,              0.9434,             0.95616,             0.71808,            0.026269,             0.05328,           0.0052348,             0.00736,             0.00736,             0.00736
                  10,            0.037816,            0.066058,           0.0057555,             0.93911,             0.95656,             0.95866,             0.72008,            0.025777,            0.052933,           0.0051865,             0.00703,             0.00703,             0.00703
                  11,            0.036676,             0.06499,            0.005554,             0.95063,             0.96044,             0.96493,             0.74746,            0.024732,            0.050543,           0.0049064,              0.0067,              0.0067,              0.0067
                  12,            0.035853,            0.063091,           0.0054131,             0.95871,             0.96343,             0.96919,             0.75522,            0.026228,            0.051869,           0.0045525,             0.00637,             0.00637,             0.00637
                  13,            0.035945,            0.063566,           0.0052541,             0.95928,             0.96238,             0.96806,             0.76066,            0.024125,            0.049955,           0.0045276,             0.00604,             0.00604,             0.00604
                  14,            0.034702,            0.061469,           0.0051408,             0.96034,             0.96628,             0.96888,             0.76895,            0.024322,            0.048532,           0.0042528,             0.00571,             0.00571,             0.00571
                  15,            0.034446,            0.061535,           0.0050324,             0.96192,             0.96894,             0.96967,             0.76211,            0.023329,            0.049647,           0.0044287,             0.00538,             0.00538,             0.00538
                  16,            0.033868,            0.060514,           0.0048679,             0.95918,             0.96509,             0.97066,             0.76461,            0.023011,            0.050248,           0.0043155,             0.00505,             0.00505,             0.00505
                  17,            0.033247,             0.05966,           0.0047766,             0.95861,             0.96568,             0.97019,             0.77206,            0.022057,            0.046302,           0.0039248,             0.00472,             0.00472,             0.00472
                  18,            0.032952,            0.059021,           0.0047294,             0.96333,             0.96891,             0.96951,             0.77305,             0.02273,            0.047998,           0.0039397,             0.00439,             0.00439,             0.00439
                  19,            0.032221,            0.057119,            0.004564,             0.96022,             0.96889,             0.97046,             0.78863,            0.021595,            0.046906,           0.0041473,             0.00406,             0.00406,             0.00406
                  20,             0.03178,            0.056745,           0.0043974,              0.9566,             0.96568,             0.96876,             0.78234,            0.021361,            0.048934,           0.0042736,             0.00373,             0.00373,             0.00373
                  21,            0.031379,            0.055899,           0.0043066,             0.97039,             0.96491,             0.96996,             0.78691,            0.021653,            0.047368,           0.0038912,              0.0034,              0.0034,              0.0034
                  22,            0.030867,            0.054773,           0.0042933,             0.96738,             0.96684,              0.9735,             0.79392,            0.021044,            0.045039,           0.0037778,             0.00307,             0.00307,             0.00307
                  23,            0.030587,            0.054611,           0.0041842,             0.97137,             0.96073,             0.97001,             0.79831,            0.020588,             0.04663,           0.0037449,             0.00274,             0.00274,             0.00274
                  24,            0.030363,            0.053405,           0.0041982,             0.97654,             0.96307,             0.97264,             0.80438,            0.020672,            0.045338,           0.0036727,             0.00241,             0.00241,             0.00241
                  25,            0.029165,            0.052022,           0.0040119,             0.97625,             0.96259,             0.97272,             0.80678,            0.020366,            0.043557,           0.0034473,             0.00208,             0.00208,             0.00208
                  26,            0.029307,            0.052036,             0.00403,             0.97609,             0.96411,             0.97311,              0.8089,            0.020308,             0.04324,            0.003607,             0.00175,             0.00175,             0.00175
                  27,            0.028906,            0.050899,           0.0038851,               0.972,             0.96657,             0.97399,             0.80854,            0.020278,            0.043976,           0.0033881,             0.00142,             0.00142,             0.00142
                  28,            0.028675,            0.049613,           0.0038406,             0.97911,             0.95578,             0.97376,             0.80803,                0.02,            0.043999,           0.0033529,             0.00109,             0.00109,             0.00109
                  29,            0.028364,            0.048623,           0.0037889,             0.97757,             0.96417,             0.97462,             0.81475,            0.019543,            0.042872,           0.0031394,             0.00076,             0.00076,             0.00076
